変更区分,観察名称管理番号（コード）,検索大分類１,検索大分類２,検索大分類３,検索大分類４,検索大分類５,検索大分類６,検索大分類７,検索大分類８,高度専門看護別分類,観察名称,名称ふりがな,焦点,部位,位相,その他,評価基準,結果管理番号,表現タイプ,単位,結果１,結果２,結果３,結果４,結果５,結果６,結果７,結果８,結果９,結果１０,結果１１,結果１２,結果１３,結果１４,結果１５,結果１６,結果１７,結果１８,更新日付,移行先観察名称管理番号,観察名称２,単位コード,観察結果グループコード,採択区分,観察名称交換用コード
0,31000001,1,0,0,0,1,0,0,0,T00,経皮的動脈血酸素飽和度（ＳＰＯ２）,けいひてきどうみゃくけつさんそほうわど（えすぴーおーつー）,呼吸機能,,,ＳＰＯ２,,31000001R,数値型,%,999,,,,,,,,,,,,,,,,,,20141219,,経皮的動脈血酸素飽和度（ＳＰＯ２）,U001,,,
0,31000002,0,0,0,0,2,0,0,0,T00,ＣＶＰ,しーぶいぴー,ＣＶＰ,,,,,31000002R,数値型,cmH2O,-99,,,,,,,,,,,,,,,,,,20081215,,ＣＶＰ,U006,,,
0,31000007,0,1,0,4,4,0,2,0,T00,哺乳量,ほにゅうりょう,哺乳,,,量,,31000007R,数値型,mL,999,,,,,,,,,,,,,,,,,,20081215,,哺乳量　ｍＬ,U016,,,
0,31000008,0,1,0,4,4,0,2,0,T00,哺乳量総合計,ほにゅうりょうそうごうけい,哺乳,,,量総合計,,31000008R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20081215,,哺乳量総合計　ｍＬ,U016,,,
0,31000009,0,0,0,4,4,0,1,0,T00,直接授乳回数,ちょくせつじゅにゅうかいすう,哺乳,,,直接回数,,31000009R,数値型,回/日,99,,,,,,,,,,,,,,,,,,20081215,,直接授乳回数,U026,,,
0,31000010,0,1,0,4,4,0,0,0,T00,飲水量（食事）,いんすいりょう（しょくじ）,水分摂取量,,,食事,,31000010R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20151218,,飲水量（食事）,U016,,,
0,31000011,0,1,0,4,4,0,0,0,T00,飲水量（食事外）,いんすいりょう（しょくじがい）,水分摂取量,,,食事外,,31000011R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20151218,,飲水量（食事外）,U016,,,
0,31000014,0,3,0,0,0,0,0,0,T00,輸液量,ゆえきりょう,輸液量,,,,,31000014R,数値型,mL,99999.9,,,,,,,,,,,,,,,,,,20151218,,輸液量,U016,,,
0,31000015,0,4,0,0,0,0,0,0,T00,輸血量,ゆけつりょう,輸血,,,量,,31000015R,数値型,mL,99999.9,,,,,,,,,,,,,,,,,,20081215,,輸血量　ｍＬ,U016,,,
0,31000016,0,4,0,0,0,0,0,0,T00,輸血量,ゆけつりょう,輸血,,,量,,31000016R,数値型,Unit,999,,,,,,,,,,,,,,,,,,20081215,,輸血量　Ｕｎｉｔ,U021,,,
2,31000017,0,3,0,0,2,0,0,0,T00,中心静脈栄養,ちゅうしんじょうみゃくえいよう,中心静脈栄養,,,,,31000017R,数値型,ml,99999.9,,,,,,,,,,,,,,,,,,20081215,31001850,,,,,
0,31000018,0,99,0,0,0,0,0,0,T00,ＩＮＴＡＫＥ合計,いんていくごうけい,ＩＮＴＡＫＥ,,,合計,,31000018R,数値型,mL,99999.9,,,,,,,,,,,,,,,,,,20151218,,ＩＮＴＡＫＥ合計,U016,,,
0,31000019,0,0,99,0,0,0,0,0,T00,ＯＵＴＰＵＴ合計,あうとぷっとごうけい,ＯＵＴＰＵＴ,,,合計,,31000019R,数値型,mL,99999.9,,,,,,,,,,,,,,,,,,20151218,,ＯＵＴＰＵＴ合計　ｍＬ,U016,,,
0,31000020,0,0,99,0,0,0,0,0,T00,ＯＵＴＰＵＴ合計,あうとぷっとごうけい,ＯＵＴＰＵＴ,,,合計,,31000020R,数値型,g,99999.9,,,,,,,,,,,,,,,,,,20151218,,ＯＵＴＰＵＴ合計　ｇ,U007,,,
0,31000021,0,0,1,5,3,0,0,0,T00,尿量,にょうりょう,排尿,,,尿量,,31000021R,数値型,mL,9999,,,,,,,,,,,,,,,,,,20081215,,尿量　ｍＬ,U016,,,
0,31000022,0,0,1,5,3,0,0,0,T00,尿量,にょうりょう,排尿,,,尿量,,31000022R,数値型,g,9999,,,,,,,,,,,,,,,,,,20081215,,尿量　ｇ,U007,,,
2,31000025,0,0,1,5,3,0,0,0,T00,尿量（ウロストミー）,にょうりょう（うろすとみー）,尿量,,,ウロストミー,,31000025R,数値型,ml,9999,,,,,,,,,,,,,,,,,,20081215,,,,,,
2,31000026,0,0,1,5,3,0,0,0,T00,尿量（ウロストミー）,にょうりょう（うろすとみー）,尿量,,,ウロストミー,,31000026R,数値型,g,9999,,,,,,,,,,,,,,,,,,20081215,,,,,,
0,31000027,0,0,0,5,3,0,0,0,T00,尿回数,にょうかいすう,排尿,,,尿回数,,31000027R,数値型,回/日,99,,,,,,,,,,,,,,,,,,20081215,,尿回数,U026,,,
0,31000028,0,0,0,5,3,0,0,0,T00,オムツ交換回数,おむつこうかんかいすう,排尿,,,オムツ交換回数,,31000028R,数値型,回/日,99,,,,,,,,,,,,,,,,,,20081215,,オムツ交換回数,U026,,,
0,31000029,0,0,0,6,3,0,0,0,T00,便回数,べんかいすう,排便,,,便回数,,31000029R,数値型,回/日,99,,,,,,,,,,,,,,,,,,20081215,,便回数,U026,,,
0,31000030,0,0,2,6,3,0,0,0,T00,便量,べんりょう,排便,,,便量,,31000030R,列挙型,,少量,中等量,多量,,,,,,,,,,,,,,,,20081215,,便量,,R7031,,
0,31000032,0,0,2,6,3,0,0,0,T00,便量,べんりょう,排便,,,便量,,31000032R,数値型,g,9999,,,,,,,,,,,,,,,,,,20081215,,便量　ｇ,U007,,,
